Districts,Positive Cases,Active Cases,Recovered,Deceased,Recovery Rate (%),Fatality Rate (%)
Ahmednagar,338227,2338,328882,7006,97.2,2.1
Akola,58759,23,57307,1425,97.5,2.4
Amravati,96226,12,94618,1594,98.3,1.7
Aurangabad,155149,433,150452,4250,97.0,2.7
Beed,103652,123,100721,2801,97.2,2.7
Bhandara,60079,2,58944,1123,98.1,1.9
Buldhana,85501,14,84685,796,99.0,0.9
Chandrapur,88953,57,87332,1560,98.2,1.8
Dhule,46165,4,45496,654,98.6,1.4
Gadchiroli,30438,7,29729,669,97.7,2.2
Gondia,40517,3,39938,569,98.6,1.4
Hingoli,18474,24,17943,506,97.1,2.7
Jalgaon,139924,15,137163,2714,98.0,1.9
Jalna,60594,50,59334,1209,97.9,2.0
Kolhapur,206594,176,200568,5845,97.1,2.8
Latur,92084,61,89584,2433,97.3,2.6
Mumbai,753653,5328,729621,16202,96.8,2.1
Nagpur,493559,72,484288,9128,98.1,1.8
Nanded,90376,16,87696,2658,97.0,2.9
Nandurbar,40004,0,39053,948,97.6,2.4
Nashik,410142,632,400846,8663,97.7,2.1
Osmanabad,67688,191,65421,1962,96.7,2.9
Palghar,137714,505,133913,3282,97.2,2.4
Parbhani,52347,27,51069,1232,97.6,2.4
Pune,1152592,6955,1125722,19566,97.7,1.7
Raigad,195567,777,190242,4541,97.3,2.3
Ratnagiri,78828,264,76086,2473,96.5,3.1
Sangli,209554,648,203289,5608,97.0,2.7
Satara,250141,749,242954,6407,97.1,2.6
Sindhudurg,52655,508,50702,1430,96.3,2.7
Solapur,210099,500,203955,5534,97.1,2.6
Thane,608496,3609,593438,11414,97.5,1.9
Wardha,57336,5,55949,1217,97.6,2.1
Washim,41659,4,41015,637,98.5,1.5
Yavatmal,75960,6,74152,1798,97.6,2.4
